Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Return_Flag,Order_Value,Return_Value,Age_Group,Return_Speed
ORD00000085,PROD00000085,USER00000085,"Thursday, April 13, 2023",,Home,283.68,3,,Not Returned,,49,Male,City95,Credit Card,Next-Day,38.31,0,851.04,0,40-59,Within a Week
ORD00000089,PROD00000089,USER00000089,"Monday, July 31, 2023",,Home,481.66,3,,Not Returned,,28,Male,City4,PayPal,Next-Day,20.8,0,1444.98,0,25-39,Within a Week
ORD00000305,PROD00000305,USER00000305,"Friday, June 30, 2023",,Home,218.33,3,,Not Returned,,58,Male,City55,Gift Card,Next-Day,29.65,0,654.99,0,40-59,Within a Week
ORD00000312,PROD00000312,USER00000312,"Wednesday, January 4, 2023",,Home,67.17,3,,Not Returned,,39,Male,City30,Debit Card,Next-Day,30.12,0,201.51,0,25-39,Within a Week
ORD00000327,PROD00000327,USER00000327,"Sunday, May 12, 2024",,Home,151.35,3,,Not Returned,,33,Female,City33,PayPal,Next-Day,7.88,0,454.05,0,25-39,Within a Week
ORD00000399,PROD00000399,USER00000399,"Monday, December 18, 2023",,Home,194.5,3,,Not Returned,,32,Female,City24,Credit Card,Next-Day,12.27,0,583.5,0,25-39,Within a Week
ORD00000681,PROD00000681,USER00000681,"Monday, October 23, 2023",,Home,66.56,3,,Not Returned,,36,Male,City73,Credit Card,Next-Day,28.39,0,199.68,0,25-39,Within a Week
ORD00000711,PROD00000711,USER00000711,"Friday, March 10, 2023",,Home,234.72,3,,Not Returned,,44,Female,City50,PayPal,Next-Day,40.79,0,704.16,0,40-59,Within a Week
ORD00000718,PROD00000718,USER00000718,"Saturday, March 30, 2024",,Home,433.4,3,,Not Returned,,26,Female,City88,Gift Card,Next-Day,6.52,0,1300.2,0,25-39,Within a Week
ORD00000732,PROD00000732,USER00000732,"Friday, November 10, 2023",,Home,395.46,3,,Not Returned,,62,Female,City35,PayPal,Next-Day,11.66,0,1186.38,0,60+,Within a Week
ORD00000756,PROD00000756,USER00000756,"Tuesday, January 17, 2023",,Home,395.32,3,,Not Returned,,68,Male,City87,Debit Card,Next-Day,16.72,0,1185.96,0,60+,Within a Week
ORD00000772,PROD00000772,USER00000772,"Tuesday, June 27, 2023",,Home,365.79,3,,Not Returned,,50,Male,City21,Debit Card,Next-Day,46.28,0,1097.37,0,40-59,Within a Week
ORD00000807,PROD00000807,USER00000807,"Thursday, July 25, 2024",,Home,352.78,3,,Not Returned,,70,Male,City59,Credit Card,Next-Day,12.22,0,1058.34,0,60+,Within a Week
ORD00000887,PROD00000887,USER00000887,"Wednesday, March 13, 2024",,Home,169.26,3,,Not Returned,,56,Male,City74,Gift Card,Next-Day,42.34,0,507.78,0,40-59,Within a Week
ORD00000939,PROD00000939,USER00000939,"Monday, April 8, 2024",,Home,390.63,3,,Not Returned,,48,Female,City57,Credit Card,Next-Day,42.15,0,1171.89,0,40-59,Within a Week
ORD00000975,PROD00000975,USER00000975,"Wednesday, June 19, 2024",,Home,332.63,3,,Not Returned,,60,Female,City52,Debit Card,Next-Day,46.56,0,997.89,0,60+,Within a Week
ORD00001262,PROD00001262,USER00001262,"Saturday, March 11, 2023",,Home,429.53,3,,Not Returned,,24,Male,City79,Gift Card,Next-Day,2,0,1288.59,0,Under 25,Within a Week
ORD00001288,PROD00001288,USER00001288,"Thursday, June 27, 2024",,Home,191.2,3,,Not Returned,,64,Male,City66,Debit Card,Next-Day,23.78,0,573.6,0,60+,Within a Week
ORD00001300,PROD00001300,USER00001300,"Sunday, June 4, 2023",,Home,274.08,3,,Not Returned,,57,Male,City91,Debit Card,Next-Day,22.55,0,822.24,0,40-59,Within a Week
ORD00001367,PROD00001367,USER00001367,"Saturday, March 4, 2023",,Home,21.87,3,,Not Returned,,49,Male,City1,Debit Card,Next-Day,19.01,0,65.61,0,40-59,Within a Week
